language,sentences
fr,tendait avecimpatience le moment d'aller
es,"fue con el apuñeado de don Quijote, que "
es,"aga para acreditarte, aquí llevo yo espa"
fr,"vé de boire, qu'il se mit à vomiravec un"
fr,très-satisfait de laréponse qu'il avait 
fr,ue dans un délai de quatre jours sonadve
fr," par la reconnaissance, résolut, pendant"
en,ngave him the opportunity to dance every
fr,"la poule, pourvuqu'elle meure soûle. Qua"
es,amos hemos tenido;pues en metad de aquel
en,"y, 'Leap thou, and give me one,' Itake a"
fr,"igné des gages dans mon testament,c'est "
es,"y testigo el cielo, a quien tú llamaste "
fr,"epas, don Juan demanda à notre héros que"
es,"ez pasada, porque, porser la hora de la "
en,huelo and the letter he had written to h
fr,"e sur les miennes? Hélas!infortunée, ce "
fr, nièce et la gouvernantedéshabillaient e
fr," parler de la sorte, ils s'imaginèrentqu"
es,"fizo; y luego, con regocijadosilencio y "
fr,  la grandeur font que l'on tient cette 
es,"iéndole que en tal trance le socorriese,"
fr,"s de ces chevaliers dont, en dépit de l'"
es, porque no me digan que miento; pero elt
es,era entender que erafingida. Fuese Ansel
fr,ie à l'astre éblouissant qu'elle conduit
fr,isait l'admiration de tous ceux qui la c
es,e por tu causa quedo. Si gustares de aco
es,"lo había dicho, y que si él no lohabía o"
fr,érie de votre maître? Vive Dieu! il me p
fr,rra s'en aller avec son enchantement dan
es,"; y que así, le suplicaba,si era lícito "
fr,ers. La pauvre bêteeffrayée vint se réfu
es,ncia para sacar a su amo de aquella mala
fr,un grand profit pour l'âme etpour le cor
fr,"e, l'esprit denotre pauvre gentilhomme, "
es,"ncho -dijo don Quijote-, mil sentencias "
es,proseguir nuestro comenzado viaje.»Viend
es,an lejos de parecer rústicocabrero cuan 
es,"é al otro mundo, porque no se puede espe"
es,".Yo -dijo el del Bosque-, con un canonic"
es,"adavuestro, maese Pedro.-¿Cómo no? -resp"
es,", muy a su placer, caballero sobre un mu"
es,"a,   y trajo del copete mi cordura   a l"
fr,ux jours après on l'entendait s'écrier d
es,do que se le diese señal precisa de laar
fr,frage[51].  [51] Ces vers sont empruntés
fr,"folâtrer avec la reine, enfin tout ce qu"
fr,l plutôt que de t'en alleravec des Franç
en,"The two were taken to aroom, where Don Q"
es,"s, porque el cielo padecefuerza, y yo ha"
es,"a a los ciegos, endereza los cojos y da "
fr,e cette histoire.CHAPITRE XLIXDE CE QUI 
fr,"ereurs combattent en personne,et qui est"
en,ddenly a tremendous outcry and noise fro
fr,"ici, ou toi detes blessures, et moi de c"
fr,le nom. Je viens pour me mesurer avectoi
fr," ne la lut point, répondit Sancho, ne sa"
en,as trembling like a leaf. Finally shequi
en,"er story. Shetold of how, upon Don Ferna"
fr,on pas à bout? à plus forteraison du cœu
fr," ne m'as pas compris, reprit don Quichot"
es,"tras grandezas que, yendo los días pasad"
fr,": aussi n'en ai-jepoint appelé, crainte "
fr,"nce,tu te verrais un jour obligé de répa"
es,"tén vuestras mercedes atentos, y oirán u"
en,self ran out and told the neighbors of t
es,"ía andado, pues pudiera élvengarse de Ca"
es,tremeció y encogió de hombros y perdió l
fr,lettres qu'ils venaient de lire ne faisa
es,"ce esa licencia que dice, estará ya mi s"
es, escudero y des felice principio a vuest
es," sobre natural razónalguna, del que es d"
fr,"ler à l'avenir dona Molinera, il lui réi"
es,"s losmiembros duelen; y así, siendo yo t"
fr,e somme raisonnable.Il se pourvut aussi 
en,"snorting, disrespectful animalshad passe"
es,"e zafio y villano, todavía se me alcanza"
fr," enchanté que vous, tant il esttriste et"
fr,"hapeau, qui pouvait lui tenir lieu de pa"
fr,"oir_, _je pars etje reste_, et tant d'au"
es,fajas de terciopelo negro de un palmo en
es, con lejía mas clara y con manos no tan 
en,"blet only.Having effected the change, th"
es," a valor, de hermosura a hermosura y de "
fr,chose à faire qu'à prier Dieutranquillem
fr,"nt si peu. Sur le soir, ilspartirent tou"
es,ontar loque le avino a Sancho Panza en s
fr,"rmellement de venir à mon aide, tant que"
en,"ña Teresa Panza, and hepictured her alre"
es,"í descubre un arroyuelo, cuyasfrescas ag"
es,"r a mis cosas, todas las queme han de da"
en,wing morning they arrivedat their own vi
fr,"t de don Quichotte, et lui jetèrent sur "
fr,"TRE LXIIAVENTURE DE LA TÊTE ENCHANTÉE, A"
es,"stumbrado.»Fuese Lotario a su casa, y An"
es,"jas de queso y mendrugos de pan, y bebie"
fr,i encore révélé à personne le secretque 
es,"no de aire, y como no consistemás de en "
fr,"euse, s'avançaient avec empressement pou"
es,dó don Quijote consolado con la escuchad
es, la mayor parte carecen estas que de ord
en,to find the Duke's castle.Having reached
fr,"a seconde Doloride, autrement la señora "
es,"icó don Quijote-, pero acomódate tú dond"
fr,"ame la duchesse, et je  voudrais qu'ils "
es, según vosdecís que le persiguen encanta
es,"s, llevan la vitoria.   Y esta vuestra m"
fr,"enchantée; pour le chevalier, parce qu'i"
es,"y mi padre, llevado de laventaja que él "
es,"tomar su declaración ante la justicia, y"
fr,"e galères, outre deux cents coups de fou"
en," hishorse, and they proceeded on their w"
es,"ás que losseguían, comenzaron a hacer un"
es,"sobre mí la capacuando llueva.-Yo, señor"
fr,"onné.Sancho, lui dit gravement son maîtr"
fr,u'avant de partir de sa maison il y avai
fr,"grand de tous les malheurs.Cardenio, lib"
fr,INSI QUE D'AUTRESÉVÉNEMENTS.Don Antonio 
es,"a noche, y no tan clara ni tan sesga com"
fr, si après avoirvous et moi bien chevauch
fr,", mais seulement pendant son séjour en F"
es,"spondió don Quijote-, no me estaba a mí "
es,ndencia resultare.-Está bien -replicó el
fr," danstoutes nos courses, et tu dis, Sanc"
es,"n haciendo, a la cuenta de su deseo,cuat"
en,"ady, that she herself mighttell him her "
fr,"s faisait pitié, tant elle étaittriste, "
es,te mi vida.¿Quién fuera el de corazón ta
es," la canción de Grisóstomo,puesto que el "
fr,"sa maîtresse, elle tenait de tels discou"
fr,etiers Yangois       58  XVI.     De ce 
fr,"AR LUI-MÊME.  «Cher lecteur,  «Celui que"
en,such afavor of him at any time (for who 
en,thing that was offered to him.At once Sa
es,"omo se le mandaba, y de traerletan buena"
fr,"e leva brusquement, et portant la main s"
es,"quiso quedarsolo con el narigudo, temien"
fr,ibuait en lui-même aux prodiges de la ch
fr,"ce, cela me feraittrop de chagrin, et je"
fr,"s'ils nenous jetteraient point à la mer,"
es,ibro hubieramandado quemar; porque su au
fr,veut conserver la vie! s'écria-t-il en l
en,ddenly he was interrupted by Don Quixote
es, ir los hombres a llegar a ser ricos yho
es,"s puertas de jacintos; finalmente,él es "
es, y pareció ser la de San Martín puesto a
es,arán bagajes en que caminar de allí adel
fr,"frayeurs, il serait fort mal de laisser "
es,nto de mis maravillas:déjeme vuestra mer
fr,"ait l'humeur du chevalier, tout cela éta"
en,"d eyes on his master, and berating himse"
es,"a, el cual llorócon ellas, y dijo:-¿Quié"
en,n. Don Quixote did not take it for a cas
fr,s fasse! personne ne s'avisera de vous l
fr,lus queje suis pacifique de ma nature et
es,arla para hacerpresente della al Gran Se
fr,"dittellement, que non-seulement des vill"
fr,"deux aventuriers, Thérèse Panza qui avai"
es,", y no en este camino,atraillado como ga"
fr,ttre en campagne pour tâcher de devenire
en,"ck, so perplexed that a learnedbarber, a"
fr,"crut un véritable chevalier errant, parc"
es,región dediablos que den con nosotros en
fr, la lueur de la torche que tenait ce pau
fr,e Grâce qu'elle pourraitbien se tromper.
es,"ía de costumbre, del cabestro a sujument"
es,nlos demás turcos. Con esto se escapan d
es,e me alcanza y se me trasluce la ventaja
fr,"aux roses vînt à se découvrir, quepar-de"
es,"ra-, si soy vieja ono, a Dios daré la cu"
es,n escuchando todos los demás la plática 
fr,"t à Sancho:Il faut convenir, frère, qu'i"
es,para quedar con más veras obligado a cum
es,no de Sancho Panza. Otra vez digo: ¡mise
es,", sinosarse apartar dél un dedo: tal era"
fr,"vec des aiguillettes, depuisqu'il est go"
es,"e me vaya, Pedro Recio, de aquí; si no, "
es,llos y hacer dellos lo que ya he dicho. 
fr," unelongue et fervente oraison, de le dé"
fr,"llecrainte, ce qui lui était arrivé, et "
es,"os escritos ajenos, sin haber dado algun"
fr,"DE LA DUÈGNE DOLORIDE, APPELÉE COMTESSET"
fr,ous à la volonté du ciel.Pendant que Dor
fr,"'être magnifique. Le duc et la duchesse,"
fr,LXXIVCOMME QUOI DON QUICHOTTE TOMBA MALA
fr, cette confusion des temps et des lieuxd
fr,e la régente m'en donneraquatre-vingts: 
fr,û me faire perdre les bonnes  grâces de 
es,"quellos que profesan las armas, como vue"
es," su casa tenía; y, por quitarse deandar "
fr,"après ce que tu portes dans ma bourse,et"
fr,elle montrait déjà un très-bonjugement; 
es,"as digo. Mirad, amigas: a cuatrosuertes "
es,bastante para dar fin a su rigurosaconti
en,what impatient withthe slow speed of the
es,"casi por imposible que la tuviese, y aco"
es,ro abierto tanto espacio cuanto es el qu
fr,"me aurait fait un revers d'épée!Le curé,"
es,con suintención.-De modo -dijo Sancho- q
es,"don Quijote de la Mancha,donde habían de"
es," muestra, sin remisión alguna"". Sabida e"
es,fuerte. Y en verdad que los tengo de dec
es,"abercaballeros; cuanto más, que cada uno"
fr,"e chambre voisine, d'où il pouvait par l"
es,n y invidia de las estrañas. Éste es mi 
es,"elo todo fue a un mesmo tiempo; y, alarr"
fr,s me reprochent de leur enlever quelquef
es, disignio que esconderme en ellas y huir
en,"--was there to prompt her, and thesituat"
fr,"lée, elle s'est méprise, oupeut-être a-t"
fr, nous ont engagés à les suivre en Andalo
fr,"uis se tournant vers le paysan, il lui d"
es,mado mancebo decirquería? El general le 
fr,"Le laboureur, qui ne voulait pasqu'on vî"
fr,"rs bras don Vincent, qui,d'une voix étei"
fr,"seule remédier.Parlez franchement, señor"
fr,"ts, cette main que personne n'a jamais t"
fr,"cuyer, sans quoi il lui aurait été impos"
fr,"ccessible.Quand ils furent près du bord,"
es,"staba a caballo, recostado sobre su lanz"
es,"qué debía hacer en aquelcaso, contándose"
fr,"tesse Loupine, à cause de la grande quan"
fr,ulement pour souffrir.  Qu'est-ce donc q
es,"rced agora para recebir a don Gregorio, "
es,sonaban en los oídos laspalabras del sab
en,"of the RuefulCountenance, begged to corr"
es,a cuchilla de su espada la sangre de los
es,o sano? ''Enverdad que tendrían mucha ra
es, a la lealtad que a mi esposo debo.»Todo
es,o las cien doblas y lasu mula la andarie
es,"o, y viole quetenía los carrillos hincha"
es,"s conceptos, nihabía de creer ser verdad"
es,ía casado donFernando con una doncella h
es,"gos y bárbaros, todos estos linajes y se"
fr,lat faisait pâlir celui du soleil; enfin
en,ight aback. Heransacked his memory for a
fr,ntrepris de réunir toute la science huma
en,th raised hands. Sancho saw themcoming a
es,"amente, y que, en acabando dejurar, le t"
fr,"'avait pas achevé de prononcer ces mots,"
fr,"esse, l'incomparable fille du ducAlphéni"
fr,"nque rien, répondit le bachelier: l'aute"
es,o dejar de regocijarse ahoracon don Quij
fr,aspar du péril où ilétait; Ricote offrit
es,", y ahora no tengo gana de azotarme;bast"
en," with prayers forhis life, the Biscayan "
fr," c'est une procession de pénitents,et qu"
fr,uyer d'un plus médiocre entendement. Dep
es, el aderezo de la yegua era de campo y d
fr,", ils'était acquis un crédit incroyable "
fr,"d'un demi-pied.J'y consens, dit don Quic"
es,icó Sanchoal duque que le dejasen la rop
es," unsabio grande amigo suyo, lo pasara mu"
en,flexible in their convictions. The two c
es,cómo tu hermoso rostro está esculpido.  
fr,"r de la Chevalerie_, dit le barbier.Ah! "
fr,tures de sonmaître; mais il ne souffla m
es,"or, lo que dice -dijo el muchacho-, que "
fr,"encore plus demoines.C'est vrai, répondi"
fr,erà chaque pas et couraient l'un vers l'
es,"vio cómo yo tomé la carta y el pañuelo, "
fr,vança jusqu'à la porte de lamaison. Pend
en,"ncho, trampling them both to the ground "
en, was about to undergo forher sake. There
fr,"sse, l'époque des joutes annoncéesdans c"
fr,"coururent avec leurs bâtons ferrés, et l"
fr,i ce n'est aux conditions queZerbin écri
fr,ile? Qui aurait jamais cru que don Ferna
es,"dores, por lo menos, si por lo más las l"
es,"uen siglo hayan y buen poso, iba adecir "
fr,"nsla suite de cette histoire.Enfin, pour"
es,"guía, se hapuesto don y se ha arremetido"
fr,"'elleoccupe, c'est rêver l'impossible. C"
es,"o hallar tantos enaquella coyuntura, por"
fr,"sans faire semblant de rien, parceque c'"
fr,timer qui se propose une plusnoble fin.L
fr,eux cherchait à le distraire de son mieu
en,"sel. As the ship began to sink, they beg"
es,ejores caballeros andantes que hay en la
es,"ra? Y si desto no, ¿de qué estánadornada"
es,as mercedes que Dios me ha hecho enhacer
es,se diera maña a conservar su hacienda co
es,"aquella ternera, si no fueraasada y en a"
fr,i les ont représentées. J'ajoutai encore
es,ella; que por aquí se comienzan las aven
fr,"ssance. En vérité, monseigneur, lui dit-"
es,"trario hacía lo mesmo, y, sintocar tromp"
en,e words. She askedDon Quixote gently wha
fr,CHANOINE ET DE DON QUICHOTTESur ma foi! 
es,"los en susbrazos, la sentó en una silla "
es,", con lo que tenían. Sentáronse a laredo"
en,e Duke himself. But the dinner had not e
fr,"Cecheval, disent les anciennes tradition"
es,e largo.Don Quijote le dijo:-Buen hombre
fr, à qui Sancho compta cinquante réaux en 
es,"í junto estaba-, porque es mi señoracomo"
en,again.The bachelor quieted the housekeep
fr," plus se faire empereur, et qu'il se mît"
fr,"ours qu'ils venaient d'entendre, firent "
es,"bellotas, digoque mi señora la duquesa e"
en," itstail, came shooting down upon the un"
fr,", tu saurais combien de parallèles nous "
es,"nfermedad de su vecino; y así, comenzó a"
es,"la andante caballería, sin más ni más te"
en,tPaul. Don Quixote spoke learnedly on ea
es," y de todo se admiraba, y ya le parecía "
fr,e qui se passe au sujet de votreenchante
fr," mes _Nouvelles_, que cet aristarque tro"
en,t; and at last they came in this way to 
es,"aba, y que seamenester que suceda uno y "
fr,"être pas davantage, reprendre le chemin "
es,que no estaban hechas a oír semejantes r
en," he could, and then departed to see his "
es,"loteando otros libros, y yo, por haber o"
en,""" said Don Quixote. ""Iam bidding thee av"
fr,"ravagances scandaleuses, perfide ennemi "
en,"edto change his opinion, in spite of his"
en,ep so restfully whilehe was being weight
es,nela antes que saliese a llamar a Lotari
es,"ue, no habiéndose alongado mucho de la í"
es,"ros han venido, antes que paséis adelant"
es,as de más importancia de las quepuedes i
fr,"ue nousperdons, il ne sera point fortifi"
es,"llíestuviese encantado, que sin duda alg"
es,"der por su mejora, y elcura le llevó con"
en,stle.CHAPTER XXVWHEREIN IS SET DOWN THE 
es,"mer pliegodél, ni entregue más de un sol"
fr,a mes vœux; qu'elle sache  qu'elle perd 
fr, de la rencontre qu'ils firent d'un corp
en,heofficers why Don Quixote was being tra
fr,on Fernand était àménager; que s'offrant
en,"thou hast been dubbed a knight thyself."""
es,an quitar si las grebas no lo estorbaran
es,aunque no estaba madura.Sobresaltóse el 
es," Quijote-, sino que el sabio, a cuyo car"
es,"encia del cura y el barbero, que tenía p"
fr,"ntique coutume deschevaliers errants, qu"
es,vuestra bondad vuelva lahonra al padre q
en,ld then beg him to shield heron her jour
es,e allí a tres o cuatro días otrasalida; 
fr,dois être satisfait maintenant; jouis do
es," este mundo tengo, y tanto, que podré de"
es,"y capa de maldades, y aquellagomia o esp"
en,"His daughter, the lovely young girl, now"
fr,"ue je vais rappeler nos fuyards,afin qu'"
es,n. Pararon las doce dueñas y hicieron ca
es,"iones,porque no sabía qué decirse para m"
es,"n y pueden tenerse, no quieras entrar de"
fr,"sente année.»Très-bien, s'écria Sancho; "
es,ne por posible que él las supiese; pero 
fr, donner la réponse de sadame; peut-être 
fr,", il faut le dire, déshonoré? Ne sachant"
es,o sobre una pila que junto a un pozo est
es,"ue lela Zoraida; y, así como esto oyó, e"
fr,s à se bien défendre. Toutefois lafortun
en,s soon as Sancho had run away from Dappl
fr,. Nous avons làRenaud de Montauban avec 
es,"s que por aquí andan, que no son del tod"
fr,"plit si bien, que depuislors ce fut un p"
es," del día, sino media noche, y aun unpoco"
fr,"rothée, etla tête du géant une plaisante"
fr,ques bergerettes à notre convenance.Et s
es,rá que desde aquel tiempoa éste haya nin
fr,"irer, et plaignaient don Fernandd'avoir "
fr,"venait de sepasser. Sur ce, le vice-roi "
fr,"rda, et le vit latête baissée sur la poi"
es,e los venideros siglos. Y no se me repli
es,"ía cosaque yo no hiciese, ni curiosidad "
fr,trois ou quatre domestiques vint y desce
en,red the La Mancha village. Whenthey pass
fr,"sté, au nomde la raison et du goût, cont"
es,"gualaban asus primeras discreciones, com"
fr, Lorsque Sancho sentit la terre lui manq
en, counted no less than two hundred gold c
fr,"eur dit-il, laissez-moi retourner à mon "
fr,"barbier:Compère, changeons de costume; m"
es,arse y escurecerse con cualquiera alient
es,"rón.En estas pláticas llegaron, rodeados"
fr,",afin d'en perpétuer la mémoire. Pour ce"
fr,"La vérité est, reprit le moulu chevalier"
en,TURE OF THE CAVE OFMONTESINOS IN THE HEA
es," ladrón, que la sangre y la fuente no es"
fr,"nand, achevèrent de détruire tout ce qui"
es, la sobrina-. ¡Que sepa vuestra merced t
fr," ne pas reconnaître votre mérite, et l'o"
fr,raignait enfin d'êtrepris sur le fait; c
en, knightserrant ought to share the greate
fr,moins illustre peut-être que ceux des te
fr,re:_Histoire de Rinconette et de Cortadi
fr,Sancho s'en alla tête baissée demander l
es,"ndavuestra merced a su salud por agora, "
fr,"exploit, et rendu leurpoli aux visages d"
fr," marbre, ne savaitou ne voulait pas répo"
fr," qui venait de leur arriver, se donnant "
es,"za, muchacho; no te encumbres, que toda "
es,"Sancho de arriba abajo, veíase ardiendo "
es,"s ansí la verdad, porque si entráis medi"
fr," pour cingler ensuite versNaples, où il "
es, parezcan.-¿Cómo no? -replicó el del Bos
es,"muchos, tiróun altibajo tal, que si maes"
fr,"émonies, la duchesse s'opiniâtrait à ne "
es,e le quite todoaquello que trata de la s
fr,"nsi tu obéiras àDieu, qui défend de mépr"
fr,"t les amants désespérés.Aussi, depuis la"
es,"e curan, aun no tanmalo; pero voy viendo"
es," comenzaron a derramartantas, los unos d"
es,yeron como si estuvieran al pie de la to
es,o juntosalabanzas o vituperios de la her
en," most heartrending terms, telling him th"
fr," croire que ces chevaliers, exposésà des"
fr,val; aies-ensoin comme de ma propre pers
fr,arbier se reposaient paisiblement à l'om
fr,"ante, ô Émerancie! Tu lesais, depuis que"
es,"dola hacía sí, sin que ella osase hablar"
es,", se quedó en el aire, asido de un ganch"
en,d a promise from three of theservants of
es," y cuentos ajenos, habiendo tanto que es"
fr,écria Sancho; mon maître a bien raison d
es,"a, y dice el epitafio: Hoy día, a tantos"
es,"no quiso quitar el brazo de mi cuello, a"
es,la señora Dulcinea en tierra; lo cual vi
en,k-saddle. And when a gentleman of qualit
fr,"me elles le sont toutes à la campagne, a"
es," era la misma que allí le habíatraído, a"
fr,qui lui soit comparable: pour la liberté
fr,"e du bien delui.C'est vrai, dit don Quic"
fr,"e est le fils d'un grand roi, de je ne s"
fr,t don Quichotte.Je m'expliquerai mieux p
fr,ancho quittât son chevet unseul instant.
fr,"is pas Neptune, le dieu des eaux, et je "
fr,"Basile, revenant un peuà lui, dit d'une "
en, theroad which lead to Saragossa.CHAPTER
es,es; que cualquier rayo que del sol de su
fr,                                     100
fr,était quelque aventure réservée pour lui
es," como no la sabía, ya le tenía porcuerdo"
fr, Sancho Panza? C'est maintenant que je r
fr,e. On mit donc pied àterre auprès de la 
es,"s ycabellos, que cabellos tenía en la ca"
es,"scón; y el cura, el pastor Curambro; y S"
fr, plus forte raison le bien mal acquis do
es, a mis parientes. Los días eran todos de
fr,"du même genre, dont ils farcissent leurs"
es,"eñora, que os podéis llamar venturosa po"
es,"e culebras, si es que lastrovas de los r"
fr,pour aïeux des rois et des princes;mais 
fr,n je le préfère à une soutanedu meilleur
es,"tante del lugar donde seembarcó, y, salt"
fr,"t ainsi, il s'efforçait de lui dénouer l"
es,Díjoles que se llamaba de nombre propio 
fr,"grandjour mes incomparables prouesses, d"
fr," dit la vérité,qu'on le laisse passer; s"
fr,» Ajoutons qu'aucun livre ne respire un 
fr,fin à toutes leurs aventures.CHAPITRE XX
es,mostraba que vivo había sido de rostrohe
es,"o gracioso, pensarán que yo soy algún ec"
es,de laque en aquel castillo había visto.H
es,"e dan algún contento; pero, cuando caigo"
es," mala ventura,y aun a otras cosas que se"
fr," les points de l'Afrique. La Goulette,ré"
es,ivididos estaban caballeros y escuderos:
es,"so de la detestación de su vicio, con qu"
fr,"anoine, de composer un livre dechevaleri"
en, side of the road! He made Sancho believ
es,has perlas y mucho dinero en oro que lle
es,e sarna.-Decid Sarra -replicó don Quijot
es,colunas de la andante caballería; estos 
en," to heart, and bent hishead humbly, not "
fr,"nt. Commence, je t'en supplie, à éprouve"
fr,semblaient en équipage de guerre. Sancho
fr,evenait.Pensant bien qu'il nous avait vu
es,y me afirmo que no he visto lo que he vi
es,loalto y entraron a don Quijote en una s
es," confesión, volvió las riendas el de la "
fr,ne et ce don Diego; quant aux deux autre
fr,rd que don Fernand se ferait connaître a
es,"o, puesto que, antes queacabase de decir"
fr,"enouveau mille malédictions, et résolut "
fr," peu, je ne vienne à perdre ceque la val"
es,"y del contrario, que arguye   tibia y fl"
fr,"es choses! Dites-moi, je vous prie, quel"
fr,njurai de ne point se laisser aveugler p
es,"do la desvergüenza de Leonela a tanto, q"
en,nchoreplied that the loss of his teeth h
es,es antiguos no mienten.-Y ¡cómo que no m
en, head over heels in love with her was en
en,"ntry woman, and the wife of a squireerra"
es, sin falta. Procure vuestra mercedque la
en,"region of his body, his heart was touche"
fr,pas qu'il m'en coûtât seulement une larm
fr,"rouver ce que j'avance, écoutezseulement"
en,their ponies let loose in the pasture. A
es,Y deste jaez otras coplitas y estrambote
es,"legría, contento y ufanidad que se ha di"
es,o los franceses despojaron a los cristia
fr,ons que desvérités. Leur étonnement redo
fr,qu'il y en ait à cette heure? En quel en
es,"l y abundosa,donde si vos os sabéis dar "
es,ía a todas horas y momentos llena la fan
fr,formes de gouvernement. Celui-ci changea
fr,"point à tescôtés, puisqu'on m'a choisi p"
fr,autre chose: si vous parveniezà délivrer
fr,"e sont pas des gouverneurs d'îles, mais "
es,"uel traje, yél, con no menos vergüenza y"
es,es demostrativas y con tantasfiguras y d
en," address his lord withcap in hand, his h"
es,que me habéis traído a la memoria la dul
fr,"r, à peine Sancho eut-il lâché sa montur"
es," pero no puedeser, a causa de que ella e"
es,"s aspas comenzaron amoverse, lo cual vis"
en, over the world for what he callsadventu
en,and let no onestretch his leg beyond the
fr,tait réservé.Je remis la lettre de don F
fr, de se mettre en quête du seigneurdon Qu
es," camino auno de nuestros pastores, y, si"
fr,rin; mais il se passe des jours entiers 
fr,un amant n'ont jamais émues. Qu'y a-t-il
es, los que me ofenden es canalla ygente ba
es,n el cansancio del camino como con la al
es,"echase de ver lo que dentro venía, con t"
fr,"c'est une vérité démontrée; au reste, s'"
es,noqueréis venir a merced conmigo y corre
es,"rced, de quien se debía esperar antes bu"
es,na ventura que he tenido en hallaros; pu
fr,"agnie: Seigneurs, dit-il,pour m'avoir en"
en,ield. Whereupon thebarber and the curate
es,"cediese bien, tiemponos queda para volve"
es,"is mi nombre antes de toda sazón; pero, "
fr,",seigneur... que Dieu vous délivre du to"
fr," et la mitre, disant qu'il voulait les c"
fr,"ne, on appelle _puerto_, port, un col ou"
fr,er qui doit nous délivrer consiste à voi
fr, Comment don Quichotte rencontra aventur
fr,"x état.[Illustration:Paris, S. Raçon, et"
en,"cho had reached the scene of action, and"
fr,"les armes.Pour la science, repartit Sanc"
fr,"ichotte etson écuyer, s'avancèrent à leu"
fr,'on a coutume de dire: Bon courage vient
es,"os, que bien sabían que en aquella venta"
fr,"e de son histoire, il ne pouvait compren"
es,ado encantador me ha puesto; que si deel
es,"ado del camino, tornaron a mirar atentam"
es,"as estrellas de noche, ni sé qué soncall"
fr,"Barcelone,au son des fifres et des tambo"
fr,"enchanteurs, surtout un, qui est sonenne"
es," hacienda, y que era común opinión en to"
fr,ant ranger.      Mais si je n'apprends d
fr,"on, surpris des paroles du patron, ne fi"
es," diez días que ha que tiene elgobierno, "
fr,i d'autre bien que cesmules et ce chario
fr,pour la faireprisonnière; mais l'Amour a
es,ondió don Quijote- si a mí se meacordara
es,sus mujeres podía tener y temer de sí mi
fr,"ue je porte en mon cœur, et qui me prouv"
fr,ique d'autant dediscrétion que don Galao
es, las africanas selvas. Tus mismos hechos
es,quitepor fuerza otra celada tal y tan bu
fr,", comme nous le verrons tout àl'heure. L"
fr,de chacun d'eux en particulier la cause 
es,rísimos oyentes lo que en la cueva deMon
fr," le duc; aussi je laporte sur mon cœur, "
en,perspiration and stiff in all his limbs.
fr,ir.Nos chercheurs d'aventures allaient a
fr,"mplement six marteaux à foulon, quin'ava"
es,o.-Éste es -siguió el barbero- El Cancio
fr,"incu, en combat singulier, le géant Broc"
es,"s y de burlas, como lo mostró en viendo "
fr,raits;  Je viens finir les maux de cette
fr,"uichotte et Sancho s'éloignèrent, l'un s"
fr, des vers qui sontautant d'épines qui pe
es,"on determinación de que, si le viesehace"
fr,"de son âne, va saisir l'étrier du voyage"
es, los andantes caballeros.-Pues no es men
es,"s, traía unocontra don Quijote, a quien "
fr,"ier errant, je puis dire que je mesens p"
fr,"quant à moi,pauvre pécheur, je n'y enten"
fr,nfauteuil comme un homme qui vient d'app
fr,nieux don Quichotte de la Manche_ (page 
en,o replied that he had spentthem for the 
fr,à où Malambrun les attend. Mais afin de 
es,"buena pieza, preguntó a su ama quehacia "
es,"su parte pidiese perdón del agravio, que"
fr,onnaissez-vous pas? ne vous souvient-il 
fr,                              392  XXIV.
es," que veía y lo que tocaba; porque,¿quién"
es,"o sé lo que es -respondió Sancho Panza-,"
fr,ers des chevaliers errants; car les pauv
fr,"atéo Boyardo,que le célèbre Arioste n'a "
es,"el mundo, como son: hermosa, sin tacha, "
fr,lle lui dit de faire en sorte qu'Anselme
fr," don Quichotte, tu es bien le plus grand"
fr,ssa entre le curé et le barbier avec    
fr,"e j'avance, voilà les armoiriesroyales.L"
es,peregrino.   Cuelga las armas y el acero
es,lla secretario de nuestrostratos me ha p
fr,nneur quifasse la sieste; elle a les yeu
en,admonishing him not to bury himself aliv
es,".-Digo, señor -replicó Sancho-, que me h"
fr,"a cause de la perte de l'Espagne, y este"
fr," ans, tandis que j'en aurai treize seule"
es,n su venida.En tanto que el mayordomo de
fr,"sont pas faux, je n'en ai vu de ma vie d"
fr," ni Mores enchantés, car,si j'en rencont"
fr,"nquante, vêtus en bergers et en bergères"
fr,"ce de beauté, répétant en peu de mots ce"
fr,espoir. Aussi ne cesse-t-on de l'appeler
es,"e,me podréis sacar sin miedo y llevarme "
fr,"pour la plupart, aucontraire, fâcheuses "
en,and pain and humiliation hehad had to go
es,adra así alde pastora como al de princes
es,"a. Si acaso enviudares, cosa que puede s"
fr, nièce et lagouvernante que leur maître 
es,resí:-Sin duda este mi amo es tan valien
en,"tones, until Rocinante and he both fell "
es,"i le seguía su escudero,se alongó un bue"
en,"ation, andboth were soon scrutinizing ea"
es,risteza. Lo que has de hacer es apretar 
en,"irtuous resolution.""These words Don Quix"
en,ice wore. At thesame time he whispered i
fr,tdes glands à madame la duchesse: si ell
es,"e dolían, pero dolerme lo que memolieron"
es,"iernas, y él tornó a dar saltos y a esta"
fr,"tais pas si joyeux?En vérité, dit Thérès"
fr, divertissaitmerveilleusement. Tout à co
fr,la voile et de cingler denouveau sur Ora
fr, ce qu'ellesvoulussent bien se découvrir
es,"icia de Sancho; y, por mudar de pláticay"
es,"l alcalde del pueblo en el mesón, con un"
es,ga de manera que mi señor donQuijote no 
es,acerun acto posesivo que facilitaba la p
fr,"n disant: Ce qu'il y a de mieux à faire,"
es,"nombre, porque me parece que me ha de im"
es,nto de darme los tres mil y trecientos a
